"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R76","0402","-78.032mm","28.5mm","-78.032mm","28.5mm","-78.032mm","28.98mm","T","270.00","0R"
"D14","SOD-323","-13.4mm","19.9mm","-13.4mm","19.9mm","-13.4mm","20.955mm","T","360.00","1N4148WS"
"PWR","LED0603","-31.1177mm","8.1064mm","-31.1177mm","8.1064mm","-31.1177mm","7.4079mm","T","90.00","KPT-1608SGC"
"R97","0402","-28.0302mm","8.2477mm","-28.0302mm","8.2477mm","-28.5102mm","8.2477mm","T","360.00","470R"
"R98","0402","-60.6613mm","8.6749mm","-60.6613mm","8.6749mm","-61.1413mm","8.6749mm","T","360.00","0R"
"R99","0402","-58.7331mm","8.6749mm","-58.7331mm","8.6749mm","-58.2531mm","8.6749mm","T","180.00","0R"
"C65","0402","-72.8193mm","27.7742mm","-72.8193mm","27.7742mm","-72.8193mm","27.3493mm","T","90.00","2u2"
"IC16","TSOP-6","-61.0721mm","22.1663mm","-61.0721mm","22.1663mm","-62.0221mm","21.0663mm","T","90.00","NCP380HSNAJAAT1G"
"C28","0402","-73.632mm","24.9mm","-73.632mm","24.9mm","-73.207mm","24.9mm","T","180.00","1u"
"T4","SC70-3","-31.2256mm","2.1mm","-31.2256mm","2.1mm","-31.8756mm","1.15mm","T","90.00","BSS138PW"
"T2","SC70-3","-27.1256mm","20.4mm","-27.1256mm","20.4mm","-26.4756mm","21.35mm","T","270.00","BSS138PW"
"L4","LQH3NPN2R2NM","-4.5256mm","35.7mm","-4.5256mm","35.7mm","-5.7256mm","35.7mm","T","0.00","LQH3NPN2R2NM0L"

