"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R134","0402","3093.329mil","-537.998mil","3093.329mil","-537.998mil","3074.431mil","-537.998mil","T","360.00","243k"
"R128","0402","2523.455mil","-1042.439mil","2523.455mil","-1042.439mil","2523.455mil","-1061.337mil","T","90.00","220R"
"R116","0402","1336.329mil","169.002mil","1336.329mil","169.002mil","1336.329mil","187.899mil","T","270.00","10k"
"R115","0402","1296.329mil","169.002mil","1296.329mil","169.002mil","1296.329mil","187.899mil","T","270.00","10k"
"R114","0402","1414.329mil","171.002mil","1414.329mil","171.002mil","1414.329mil","189.899mil","T","270.00","10k"
"NVME","LED0603","2499.664mil","-1153.703mil","2499.664mil","-1153.703mil","2499.664mil","-1126.203mil","T","270.00","APT1608SGC"
"C47","0603","2871.329mil","-254.339mil","2871.329mil","-254.339mil","2871.329mil","-286.425mil","T","90.00","10u"
"C46","0402","2942.329mil","-305.998mil","2942.329mil","-305.998mil","2942.329mil","-324.896mil","T","90.00","100n"
"R110","0402","1736.329mil","-529.998mil","1736.329mil","-529.998mil","1736.329mil","-511.101mil","T","270.00","0R"
"R109","0402","1686.329mil","-529.998mil","1686.329mil","-529.998mil","1686.329mil","-511.101mil","T","270.00","0R"
"R108","0402","1540.329mil","-196.376mil","1540.329mil","-196.376mil","1540.329mil","-177.479mil","T","270.00","0R"
"R107","0402","1576.329mil","-195.998mil","1576.329mil","-195.998mil","1576.329mil","-177.101mil","T","270.00","0R"
"R106","0402","1526.329mil","-529.998mil","1526.329mil","-529.998mil","1526.329mil","-511.101mil","T","270.00","0R"
"R105","0402","1626.329mil","-196.998mil","1626.329mil","-196.998mil","1626.329mil","-178.101mil","T","270.00","0R"
"R104","0402","1489.329mil","-529.998mil","1489.329mil","-529.998mil","1489.329mil","-511.101mil","T","270.00","0R"
"R103","0402","1663.642mil","-196.571mil","1663.642mil","-196.571mil","1663.642mil","-177.673mil","T","270.00","0R"
"R102","0402","1381.329mil","-510.998mil","1381.329mil","-510.998mil","1381.329mil","-529.896mil","T","90.00","10k"
"R101","0402","2000.329mil","-299.998mil","2000.329mil","-299.998mil","2000.329mil","-318.896mil","T","90.00","100k"
"R100","0402","1914.329mil","-1085.998mil","1914.329mil","-1085.998mil","1933.226mil","-1085.998mil","T","180.00","100k"
"Q1","SOT-23","2097.329mil","-248.999mil","2097.329mil","-248.998mil","2059.927mil","-286.4mil","T","90.00","PMV32UP,215"
"BOOT","LED0603","2587.607mil","-1153.703mil","2587.607mil","-1153.703mil","2587.607mil","-1126.203mil","T","270.00","APT1608SGC"
"J3","WE_7499110124","179.14mil","-550.707mil","179.14mil","-550.707mil","404.14mil","-570.786mil","T","180.00","7499110124"
"T3","SC70-3","3232.329mil","-642.999mil","3232.329mil","-642.998mil","3206.738mil","-680.4mil","T","90.00","BSS138PW,115"
"J9","CON-Molex-047346-0001","2805.124mil","-1065.156mil","2805.124mil","-1062.518mil","2753.943mil","-1012.794mil","T","90.00","Molex 47346-0001"
"D1","PowerDI","282.329mil","452.49mil","282.329mil","374.49mil","245.329mil","530.49mil","T","90.00","PDS760-13"
"R52","0402","217.827mil","797.538mil","217.827mil","797.538mil","217.827mil","816.436mil","T","270.00","10k2"
"R48","0402","139.708mil","797.506mil","139.708mil","797.506mil","139.708mil","816.404mil","T","270.00","16k9"
"R46","0402","256.887mil","797.538mil","256.887mil","797.538mil","256.887mil","778.641mil","T","90.00","53k6"
"R45","0402","295.947mil","797.538mil","295.947mil","797.538mil","295.947mil","816.436mil","T","270.00","49R9"
"R44","0402","335.006mil","797.538mil","335.006mil","797.538mil","335.006mil","778.641mil","T","90.00","243k"
"R40","0402","600.329mil","-209.998mil","600.329mil","-209.998mil","600.329mil","-228.896mil","T","90.00","220R"
"R38","0402","556.329mil","-209.998mil","556.329mil","-209.998mil","556.329mil","-228.896mil","T","90.00","220R"
"L1","WE_7447798720","-2.764mil","362.1mil","-2.764mil","362.1mil","-2.764mil","523.518mil","T","270.00","7447798720"
"IC3","WSON-10_4x4","234.737mil","670.577mil","234.737mil","670.577mil","313.477mil","607.584mil","T","270.00","TPS54561QDPRRQ1"
"C64","0402","178.768mil","797.538mil","178.768mil","797.538mil","178.768mil","816.436mil","T","270.00","47p"
"C25","0402","135.079mil","873.451mil","135.079mil","873.451mil","135.079mil","892.348mil","T","270.00","4n7"
"C24","0402","391.329mil","713.002mil","391.329mil","713.002mil","372.431mil","713.002mil","T","360.00","10n"
"C23","1206","406.329mil","590.002mil","406.329mil","590.002mil","406.329mil","527.01mil","T","90.00","2u2"
"C22","1206","254.582mil","885.069mil","254.582mil","885.069mil","191.59mil","885.069mil","T","360.00","2u2"
"C21","1206","403.219mil","835.388mil","403.219mil","835.388mil","403.219mil","898.38mil","T","270.00","2u2"
"C19","0402","33.329mil","608.002mil","33.329mil","608.002mil","52.226mil","608.002mil","T","180.00","100n"
"C18","0805","322.673mil","191.544mil","322.673mil","191.544mil","322.673mil","225.993mil","T","270.00","47u"
"C17","0805","242.388mil","191.544mil","242.388mil","191.544mil","242.388mil","225.993mil","T","270.00","47u"
"IC8","SOT23-5N","3470.329mil","568.002mil","3470.329mil","568.002mil","3425.053mil","605.403mil","T","360.00","LM3671MF-3.3"
"D3","SOT-23s","2798.895mil","-839.101mil","2798.895mil","-839.1mil","2761.494mil","-876.502mil","T","90.00","TPD2E009DBZR"
"C56","0603","3621.329mil","456.002mil","3621.329mil","456.002mil","3653.415mil","456.002mil","T","180.00","10u"
"C55","0402","3373.329mil","587.002mil","3373.329mil","587.002mil","3373.329mil","568.104mil","T","90.00","4u7"
"C13","0402","587.329mil","-664.998mil","587.329mil","-664.998mil","587.329mil","-683.896mil","T","90.00","10n"
"J4","DC_SOCKET_PJ-002AH","3582.644mil","-791.809mil","3490.124mil","-1213.069mil","3490.124mil","-673.699mil","T","90.00","PJ-002AH"
"R43","0402","1432.329mil","-973.998mil","1432.329mil","-973.998mil","1432.329mil","-992.896mil","T","90.00","470R"
"RST","TL3340AF160QG","3619.727mil","-294.522mil","3622.68mil","-294.522mil","3575.436mil","-342.75mil","T","270.00","TL3340AF160QG"
"REC","TL3340AF160QG","3619.727mil","-553.463mil","3622.68mil","-553.463mil","3575.436mil","-601.691mil","T","270.00","TL3340AF160QG"
"R94","0402","1151.329mil","185.002mil","1151.329mil","185.002mil","1132.431mil","185.002mil","T","360.00","10k"
"R93","0402","1850.329mil","-49.998mil","1850.329mil","-49.998mil","1831.431mil","-49.998mil","T","360.00","10k"
"R90","0402","3425.329mil","456.002mil","3425.329mil","456.002mil","3425.329mil","474.899mil","T","270.00","10k"
"R88","0402","1393.079mil","-642.998mil","1393.079mil","-642.998mil","1393.079mil","-624.101mil","T","270.00","2k"
"R86","0402","2253.329mil","54.252mil","2253.329mil","54.252mil","2234.431mil","54.252mil","T","360.00","200k"
"R85","0402","2235.329mil","-43.998mil","2235.329mil","-43.998mil","2235.329mil","-25.101mil","T","270.00","470k"
"R84","0402","2253.329mil","132.752mil","2253.329mil","132.752mil","2234.431mil","132.752mil","T","360.00","200k"
"R83","0402","635.329mil","-663.998mil","635.329mil","-663.998mil","635.329mil","-682.896mil","T","90.00","2k"
"R82","0402","702.329mil","-744.998mil","702.329mil","-744.998mil","721.226mil","-744.998mil","T","180.00","0R"
"R81","0402","772.329mil","-661.998mil","772.329mil","-661.998mil","772.329mil","-680.896mil","T","90.00","2k"
"R80","0402","1840.329mil","306.002mil","1840.329mil","306.002mil","1840.329mil","324.899mil","T","270.00","0R"
"R78","0402","1840.329mil","382.002mil","1840.329mil","382.002mil","1840.329mil","363.104mil","T","90.00","0R"
"L10","0603","2481.329mil","-465.998mil","2481.329mil","-465.998mil","2481.329mil","-433.912mil","T","270.00","BLM18SG121TN1D"
"L9","0603","842.329mil","-646.998mil","842.329mil","-646.998mil","842.329mil","-614.912mil","T","270.00","BLM18SG121TN1D"
"L8","0603","742.329mil","-1160.998mil","742.329mil","-1160.998mil","710.242mil","-1160.998mil","T","0.00","BLM18SG121TN1D"
"IC15","SC70-5","2644.919mil","-848.691mil","2619.329mil","-891.998mil","2619.329mil","-891.998mil","T","90.00","TLV70018DCKT"
"IC13","R-PDSO-G5","1935.329mil","81.002mil","1935.329mil","81.002mil","1960.919mil","118.403mil","T","270.00","SN74LVC1G126DCKR"
"IC12","TSSOP-14","2102.329mil","39.002mil","2102.329mil","39.002mil","2179.1mil","151.206mil","T","270.00","74HC00PW,118"
"IC11","SC70-5","1908.919mil","-841.691mil","1883.329mil","-884.998mil","1883.329mil","-884.998mil","T","90.00","SN74LV1T125DCKR"
"F1","Fuse-1206","642.365mil","58.866mil","579.373mil","58.866mil","579.373mil","58.866mil","T","360.00","Value"
"D13","SOD-323","2295.329mil","-75.998mil","2295.329mil","-75.998mil","2295.329mil","-117.534mil","T","360.00","1N4148WS"
"D12","SOT-23s","1910.329mil","-985.999mil","1910.329mil","-985.998mil","1947.73mil","-1023.4mil","T","180.00","TPD2E009DBZR"
"D11","SOT-23s","878.329mil","-791.999mil","878.329mil","-791.998mil","840.927mil","-829.4mil","T","90.00","TPD2E009DBZR"
"D10","SOT-23s","1385.329mil","-1081.998mil","1385.329mil","-1081.998mil","1347.927mil","-1044.597mil","T","360.00","TPD2E009DBZR"
"C63","0603","2149.329mil","-149.998mil","2149.329mil","-149.998mil","2181.415mil","-149.998mil","T","180.00","10u"
"R67","0402","1897.283mil","-467.669mil","1897.283mil","-467.669mil","1878.385mil","-467.669mil","T","360.00","200k"
"R65","0402","1870.329mil","-195.998mil","1870.329mil","-195.998mil","1870.329mil","-177.101mil","T","270.00","0R"
"R63","0402","1750.37mil","-196.376mil","1750.37mil","-196.376mil","1750.37mil","-215.274mil","T","90.00","0R"
"LED1","LED0603","1391.663mil","-1184.1mil","1391.663mil","-1184.1mil","1419.163mil","-1184.1mil","T","180.00","APT1608SGC"
"L2","0603","1387.329mil","-410.998mil","1387.329mil","-410.998mil","1387.329mil","-443.085mil","T","90.00","BLM18EG221SN1D"
"IC7","RNH0030A","1686.761mil","-361.632mil","1686.761mil","-361.731mil","1757.628mil","-313.306mil","T","270.00","HD3SS3220"
"D7","TPD4E05U06_PASS","1765.502mil","-668.817mil","1765.502mil","-668.817mil","1804.872mil","-653.66mil","T","180.00","TPD4E05U06"
"D6","TPD4E05U06_PASS","1548.966mil","-668.817mil","1548.966mil","-668.817mil","1509.596mil","-653.66mil","T","0.00","TPD4E05U06"
"C34","0805","1962.329mil","-219.998mil","1962.329mil","-219.998mil","1927.88mil","-219.998mil","T","360.00","47u"
