"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J4","DC_SOCKET","-145.15mil","428.189mil","-241.205mil","6.93mil","-241.205mil","546.3mil","T","90.00","MJ-179PH"
"R43","0402","-3087.874mil","59.055mil","-3087.874mil","59.055mil","-3068.977mil","59.055mil","T","180.00","470R"
"RST","TL3340AF160QG","-111.601mil","925.476mil","-108.648mil","925.476mil","-155.893mil","877.248mil","T","270.00","TL3340AF160QG"
"REC","TL3340AF160QG","-111.601mil","667.016mil","-108.648mil","667.016mil","-155.893mil","618.788mil","T","270.00","TL3340AF160QG"
"R95","0402","-992.319mil","525.65mil","-992.319mil","525.65mil","-973.421mil","525.65mil","T","180.00","0R"
"R94","0402","-2945.954mil","1277.408mil","-2945.954mil","1277.408mil","-2945.954mil","1258.51mil","T","90.00","0R"
"R93","0402","-1846.457mil","1275.591mil","-1846.457mil","1275.591mil","-1846.457mil","1256.693mil","T","90.00","0R"
"R92","0402","-2927.797mil","1216.765mil","-2927.797mil","1216.765mil","-2908.899mil","1216.765mil","T","180.00","0R"
"R90","0402","-62.032mil","1217.492mil","-62.032mil","1217.492mil","-80.929mil","1217.492mil","T","360.00","0R"
"R88","0402","-2385.76mil","272.115mil","-2385.76mil","272.115mil","-2385.76mil","253.218mil","T","90.00","2k"
"R86","0402","-1577.179mil","1384.676mil","-1577.179mil","1384.676mil","-1596.077mil","1384.676mil","T","360.00","200k"
"R85","0603","-1582.493mil","1345.067mil","-1582.493mil","1345.067mil","-1609.993mil","1345.067mil","T","360.00","470k"
"R84","0402","-1761.605mil","1266.562mil","-1761.605mil","1266.562mil","-1742.708mil","1266.562mil","T","180.00","200k"
"R83","0402","-3128.622mil","546.929mil","-3128.622mil","546.929mil","-3128.622mil","565.827mil","T","270.00","2k"
"R82","0402","-2826.687mil","465.639mil","-2826.687mil","465.639mil","-2826.687mil","446.742mil","T","90.00","0R"
"R81","0402","-3080.943mil","555.894mil","-3080.943mil","555.894mil","-3080.943mil","536.996mil","T","90.00","2k"
"R80","0402","-122.673mil","1666.46mil","-122.673mil","1666.46mil","-103.775mil","1666.46mil","T","180.00","0R"
"R78","0402","-1862.602mil","1575.241mil","-1862.602mil","1575.241mil","-1862.602mil","1594.139mil","T","270.00","0R"
"L10","0603","-1218.939mil","591.093mil","-1218.939mil","591.093mil","-1218.939mil","623.18mil","T","270.00","BLM18SG121TN1D"
"L9","0603","-3059.252mil","440.535mil","-3059.252mil","440.535mil","-3059.252mil","472.622mil","T","270.00","BLM18SG121TN1D"
"L8","0603","-2942.205mil","385.827mil","-2942.205mil","385.827mil","-2974.292mil","385.827mil","T","0.00","BLM18SG121TN1D"
"IC15","SC70-5","-990.187mil","617.903mil","-964.597mil","661.21mil","-964.597mil","661.21mil","T","270.00","TLV70018DCKT"
"IC14","R-PDSO-G5","-1558.094mil","1486.747mil","-1558.094mil","1486.747mil","-1532.504mil","1524.148mil","T","270.00","SN74LVC1G07DCKR"
"IC13","R-PDSO-G5","-1425.072mil","1485.595mil","-1425.072mil","1485.595mil","-1450.662mil","1448.194mil","T","90.00","SN74LVC1G126DCKR"
"IC12","DHVQFN14","-1757.502mil","1365.477mil","-1757.502mil","1365.477mil","-1747.659mil","1306.422mil","T","180.00","74HC00BQ"
